Datum;plusminus
14.12.2017;-0,41
13.12.2017;-0,05
12.12.2017;0,15
11.12.2017;0,32
08.12.2017;0,55
07.12.2017;0,29
06.12.2017;-0,01
05.12.2017;-0,37
04.12.2017;-0,11
01.12.2017;-0,2
30.11.2017;0,82
29.11.2017;-0,04
28.11.2017;0,98
27.11.2017;-0,04
24.11.2017;0,21
22.11.2017;-0,08
21.11.2017;0,65
20.11.2017;0,13
17.11.2017;-0,26
16.11.2017;0,82
15.11.2017;-0,55
14.11.2017;-0,23
13.11.2017;0,1
10.11.2017;-0,09
09.11.2017;-0,38
08.11.2017;0,14
07.11.2017;-0,02
06.11.2017;0,13
03.11.2017;0,31
02.11.2017;0,02
01.11.2017;0,16
31.10.2017;0,09
30.10.2017;-0,32
27.10.2017;0,81
26.10.2017;0,13
25.10.2017;-0,47
24.10.2017;0,16
23.10.2017;-0,4
20.10.2017;0,51
19.10.2017;0,03
18.10.2017;0,07
17.10.2017;0,07
16.10.2017;0,18
13.10.2017;0,09
12.10.2017;-0,17
11.10.2017;0,18
10.10.2017;0,23
09.10.2017;-0,18
06.10.2017;-0,11
05.10.2017;0,56
04.10.2017;0,12
03.10.2017;0,22
02.10.2017;0,39
29.09.2017;0,37
28.09.2017;0,12
27.09.2017;0,41
26.09.2017;0,01
25.09.2017;-0,22
22.09.2017;0,06
21.09.2017;-0,3
20.09.2017;0,06
19.09.2017;0,11
18.09.2017;0,15
15.09.2017;0,18
14.09.2017;-0,11
13.09.2017;0,08
12.09.2017;0,34
11.09.2017;1,08
08.09.2017;-0,15
07.09.2017;-0,02
06.09.2017;0,31
05.09.2017;-0,76
01.09.2017;0,2
31.08.2017;0,57
30.08.2017;0,46
29.08.2017;0,08
28.08.2017;0,05
25.08.2017;0,17
24.08.2017;-0,21
23.08.2017;-0,35
22.08.2017;0,99
21.08.2017;0,12
18.08.2017;-0,18
17.08.2017;-1,54
16.08.2017;0,14
15.08.2017;-0,05
14.08.2017;1
11.08.2017;0,13
10.08.2017;-1,45
09.08.2017;-0,04
08.08.2017;-0,24
07.08.2017;0,16
04.08.2017;0,19
03.08.2017;-0,22
02.08.2017;0,05
01.08.2017;0,24
31.07.2017;-0,07
28.07.2017;-0,13
27.07.2017;-0,1
26.07.2017;0,03
25.07.2017;0,29
24.07.2017;-0,11
21.07.2017;-0,04
20.07.2017;-0,02
19.07.2017;0,54
18.07.2017;0,06
17.07.2017;-0,01
14.07.2017;0,47
13.07.2017;0,19
12.07.2017;0,73
11.07.2017;-0,08
10.07.2017;0,09
07.07.2017;0,64
06.07.2017;-0,94
05.07.2017;0,15
03.07.2017;0,23
30.06.2017;0,15
29.06.2017;-0,86
28.06.2017;0,88
27.06.2017;-0,81
26.06.2017;0,03
23.06.2017;0,16
22.06.2017;-0,05
21.06.2017;-0,06
20.06.2017;-0,67
19.06.2017;0,83
16.06.2017;0,03
15.06.2017;-0,22
14.06.2017;-0,1
13.06.2017;0,45
12.06.2017;-0,1
09.06.2017;-0,08
08.06.2017;0,03
07.06.2017;0,16
06.06.2017;-0,28
05.06.2017;-0,12
02.06.2017;0,37
01.06.2017;0,76
31.05.2017;-0,05
30.05.2017;-0,12
26.05.2017;0,03
25.05.2017;0,44
24.05.2017;0,25
23.05.2017;0,18
22.05.2017;0,52
19.05.2017;0,68
18.05.2017;0,37
17.05.2017;-1,82
16.05.2017;-0,07
15.05.2017;0,48
12.05.2017;-0,15
11.05.2017;-0,22
10.05.2017;0,11
